ticker,level,filing_date
CRSP,1.1745446454114798,2021-02-16
GRMN,1.2455950594885,2021-02-17
CERS,1.47453762351152,2021-02-25
PSNL,1.3634808244057801,2022-02-24
ARCT,1.1322301347405,2022-03-01
TER,1.22538936232735,2023-02-22
TWST,1.2578006272836,2025-11-17
BMNR,1.50588869909197,2025-11-21
SYM,1.2370999061811299,2025-11-24
AVGO,1.3936415106078501,2025-12-18
DE,1.15502208130449,2025-12-18
SNPS,1.32074583294095,2025-12-22
HEI,1.13379996529183,2025-12-22
NFLX,1.43643031784841,2026-01-23
NRIX,1.17645092829331,2026-01-28
LMT,1.445845906693,2026-01-29
TSLA,1.15310859911182,2026-01-29
META,1.4855355746677001,2026-01-29
ISRG,1.51158188363458,2026-02-03
AMD,1.19468892719958,2026-02-04
GOOG,1.36403494527621,2026-02-05
AMZN,1.28733073641253,2026-02-06
SHOP,1.43395759935719,2026-02-11
Z,1.4287874206229199,2026-02-11
RBLX,1.24494745351657,2026-02-11
AUR,1.2349545840977199,2026-02-11
IRDM,0.93760103459424,2026-02-12
LLY,1.78372352285395,2026-02-12
LHX,1.1896412193148,2026-02-12
COIN,1.49899993406158,2026-02-12
ABNB,1.5584660915559398,2026-02-12
DKNG,1.76252115245148,2026-02-13
CAT,1.1694687601315301,2026-02-13
TXG,1.43926681295985,2026-02-13
SOFI,1.19220872966899,2026-02-17
PLTR,1.1769762290474999,2026-02-17
TOST,1.43232972814966,2026-02-18
DDOG,1.41430948419301,2026-02-18
FIG,1.17850688522921,2026-02-18
DASH,1.54204327581484,2026-02-18
HOOD,1.35831478275208,2026-02-18
GH,1.4510796359035,2026-02-19
TDY,1.48477425988085,2026-02-20
KTOS,1.46501165885484,2026-02-23
WGS,1.49451642310561,2026-02-23
BWXT,1.34191765953772,2026-02-23
BEAM,1.2991684171150601,2026-02-24
CDNA,1.33720930232558,2026-02-25
NVDA,1.24096988770474,2026-02-25
TRMB,1.21436504998148,2026-02-25
PACB,1.6020994751312099,2026-02-25
MELI,1.23388549114705,2026-02-25
SDGR,1.25131530301737,2026-02-25
RXRX,1.3419016478357901,2026-02-25
IONS,0.8491300490648701,2026-02-26
RKLB,1.37828088070655,2026-02-26
VCYT,1.50811485642946,2026-02-26
XYZ,1.1516148584293,2026-02-26
NTLA,1.25515963271838,2026-02-26
NET,1.35167243063438,2026-02-26
ADPT,1.1423505572441701,2026-02-26
BFLY,1.20211716156813,2026-02-27
NTRA,1.57253089646807,2026-02-27
JOBY,1.6130676316191799,2026-02-27
CRWV,1.05309447761884,2026-03-02
ACHR,1.21173254126303,2026-03-02
PRME,1.18867420532454,2026-03-03
QSI,1.38233980245197,2026-03-03
CRWD,1.13525560663045,2026-03-05
MASS,1.5485511944541401,2026-03-09
CRCL,1.42399496324278,2026-03-09
KDK,1.0204504056963,2026-03-11
FRNM,1.2110410382963102,2026-03-12
OKLO,1.33056640625,2026-03-17
GTLB,1.2910002710761699,2026-03-17
RBRK,1.2736811425240402,2026-03-19
LUNR,1.35095645919032,2026-03-19
SNOW,1.21885269769957,2026-03-20
CMPS,1.2375545132888899,2026-03-24
ABSI,1.54351944723058,2026-03-24
P,1.11070947389175,2026-03-25
CNTN,1.1561352701069398,2026-03-31
AVAV,1.28785241907413,2026-06-29
